업소명,동,아메리카노,경도,위도,근처 카페 수,면적,동,동 면적,인구,동 카페 수
귤꽃,12,4500,126.6553104,33.53841465,1,60.31,6,2.5,"36,660",16
벨로인커피네이쳐,6,3500,126.5256662,33.51472417,7,210.71,14,185.93,"15,651",12
템푸스,14,3500,126.7976932,33.55492667,2,59.88,15,79.1,"9,065",4
해봐요,15,4500,126.2688969,33.31878685,0,88,7,5.54,"22,503",9
영주원,7,0,126.5122907,33.51454501,1,164.11,3,12.3,"41,522",25
춤추는염소들,3,4000,126.5005416,33.49648459,2,51.32,13,91.09,"21,388",7
최마담네 빵다방,13,4000,126.246225,33.39885505,1,59.5,1,6.26,"57,748",41
카페띠아모제주법원점,1,3500,126.5357002,33.49121763,4,120.31,3,12.3,"41,522",25
투썸플레이스제주연동점,3,4100,126.490163,33.48505334,1,303.6,10,9.53,"25,461",4
팡,10,0,126.5838915,33.52319103,0,86,1,6.26,"57,748",41
타임앤스타일,1,3500,126.5414422,33.49164324,6,88.83,11,202.16,"36,110",21
카페백퍼,11,3500,126.4039777,33.48362206,0,63.75,1,6.26,"57,748",41
폴인슈크레,1,3000,126.532659,33.48840141,1,78.36,3,12.3,"41,522",25
플로베,3,3000,126.4893338,33.49220658,0,15.98,3,12.3,"41,522",25
하비마카롱,3,2500,126.4950941,33.4917958,0,56.7,9,8.28,"24,872",6
커피더쏠제주,9,3000,126.5607885,33.5248974,0,110.55,6,2.5,"36,660",16
커피로카,6,2000,126.5404414,33.50662082,3,88.29,8,4.03,"3,151",5
로치아커피도두,8,4000,126.4666155,33.50185567,1,40,1,6.26,"57,748",41
배스킨라빈스제주법원점,1,2500,126.536382,33.49228377,3,88.65,4,70.48,"34,357",27
배스킨라빈스제주아라점,4,2500,126.5453469,33.47399011,2,99.54,3,12.3,"41,522",25
커피보그,3,3500,126.4910288,33.47837839,2,69.85,9,8.28,"24,872",6
커피초아,9,5500,126.5766573,33.51747887,1,105.04,16,2.56,"4,545",1
카페베네중앙병원점,16,4100,126.4704808,33.49232086,0,62.8,5,45.21,"53,953",27
커피구십구점구(커피99.9),5,4000,126.484613,33.46972508,0,86.55,11,202.16,"36,110",21
청춘다락,11,3000,126.3735705,33.47374417,0,54.05,3,12.3,"41,522",25
커피비터스윗,3,4000,126.4985183,33.48684948,1,58.2,4,70.48,"34,357",27
바빈스커피제주아라점,4,2800,126.5450596,33.47332733,2,77.86,7,5.54,"22,503",9
슬로우벗커피로스터스,7,4500,126.5140568,33.51552746,1,70,5,45.21,"53,953",27
파스쿠찌제주노형점,5,4000,126.4840288,33.48232118,3,188.92,1,6.26,"57,748",41
카페빠네띠에,1,3200,126.5460689,33.49464851,4,131.91,1,6.26,"57,748",41
앨리브런치,1,3000,126.5475114,33.49446461,4,95.25,5,45.21,"53,953",27
꽃피는커피,5,4000,126.4744662,33.48462003,1,114.25,14,185.93,"15,651",12
봉쉡망고월정점,14,4100,126.79565,33.55565131,1,60,6,2.5,"36,660",16
핸즈커피일도점,6,3500,126.5536169,33.50288971,0,58.73,13,91.09,"21,388",7
지니의뜰에커피나리다,13,4000,126.2959342,33.43860369,0,52.89,2,1.7,"22,138",4
원더샌드위치,2,3000,126.524923,33.50448838,2,69.69,5,45.21,"53,953",27
리틀팝,5,4000,126.4818343,33.48244297,1,34,5,45.21,"53,953",27
감성팥쥐,5,3500,126.4845701,33.48435258,2,54.81,1,6.26,"57,748",41
커피스탬프,1,3500,126.5400114,33.48773138,2,65.32,17,28.74,"15,266",2
요츠바,17,3000,126.5030518,33.49882393,0,44.79,5,45.21,"53,953",27
더치커피앤클래식,5,0,126.4778332,33.4858722,1,31.62,11,202.16,"36,110",21
리치망고본점,11,3500,126.3401777,33.46855015,1,39,5,45.21,"53,953",27
늘봄커피편의점,5,0,126.4728358,33.47947123,1,28.8,1,6.26,"57,748",41
마이티커피,1,3500,126.5381349,33.48823425,3,146,15,79.1,"9,065",4
담담,15,6000,126.2624276,33.33903457,0,74.25,9,8.28,"24,872",6
카페띠아모제주삼화점,9,3500,126.5760572,33.51449022,0,111.5,7,5.54,"22,503",9
파스쿠찌용담해안도로점,7,4000,126.4931176,33.5194424,1,283,9,8.28,"24,872",6
감성커피화북점,9,1800,126.5650981,33.51900551,0,71.25,3,12.3,"41,522",25
커피림,3,3500,126.4878574,33.46944496,0,92,1,6.26,"57,748",41
파스쿠찌제주이도점,1,4000,126.5395637,33.48910333,3,270.54,17,28.74,"15,266",2
먹쿠슬낭여행자카페,17,2900,126.5070014,33.49805069,0,33,5,45.21,"53,953",27
담화헌,5,3500,126.480513,33.449351,0,63.16,4,70.48,"34,357",27
꽃밭에서,4,3500,126.5505295,33.45542896,1,69.16,4,70.48,"34,357",27
해즈빈연북로점,4,3500,126.5359079,33.48382578,0,57.24,11,202.16,"36,110",21
스마일러,11,5500,126.4158542,33.46995328,0,117.1,1,6.26,"57,748",41
코너커피,1,4200,126.5289409,33.49911071,10,142.43,1,6.26,"57,748",41
로이셀,1,3900,126.5460689,33.49464851,4,136.81,1,6.26,"57,748",41
공차제주시청점,1,3500,126.5302175,33.49806547,9,73.11,1,6.26,"57,748",41
어반르토아,1,4000,126.5420055,33.49108165,5,124.31,7,5.54,"22,503",9
엔제리너스제주용두암점,7,4800,126.5031492,33.51685498,0,440.3,11,202.16,"36,110",21
콩쥐살쥐,11,3500,126.3880019,33.46771449,0,58.5,5,45.21,"53,953",27
엔제리너스제주노형점,5,4800,126.4722348,33.48029267,1,507.94,11,202.16,"36,110",21
파스쿠찌애월해안로점,11,4000,126.3632421,33.4783566,0,147,1,6.26,"57,748",41
커피파인더,1,3500,126.5287202,33.49875047,10,83.1,5,45.21,"53,953",27
941헤르쯔,5,4000,126.4850525,33.48533176,1,193.28,11,202.16,"36,110",21
포메르,11,4500,126.3786197,33.48367478,1,99.55,4,70.48,"34,357",27
파이굽는돌담집,4,3000,126.5404343,33.4722544,1,74.98,5,45.21,"53,953",27
미스틱3도,5,4500,126.487368,33.44999341,1,206.49,3,12.3,"41,522",25
컴플리트,3,4000,126.4913001,33.47824414,2,76.3,12,150.68,"24,531",9
알라스카인제주,12,4000,126.6704131,33.54024285,0,97.1,1,6.26,"57,748",41
그러므로,1,4000,126.5352278,33.48715758,3,38.2,2,1.7,"22,138",4
커피다,2,2000,126.5176899,33.50018441,0,105,4,70.48,"34,357",27
팩토리소란,4,6000,126.549384,33.4558283,1,123.53,1,6.26,"57,748",41
레몬칸타타,1,3500,126.5357111,33.48683215,2,79,11,202.16,"36,110",21
프롬더럭,11,4500,126.3469807,33.45535012,0,114.76,1,6.26,"57,748",41
카페베네이도일동점,1,4100,126.5254861,33.5064782,1,232.22,3,12.3,"41,522",25
루가,3,3000,126.4974074,33.48663522,1,38.19,4,70.48,"34,357",27
인코시벳제주이도점,4,2800,126.5425841,33.49334316,4,76,4,70.48,"34,357",27
제대가는길,4,3300,126.5584336,33.45970005,1,63.36,7,5.54,"22,503",9
제주설심당,7,4000,126.4928963,33.51943952,1,166,12,150.68,"24,531",9
카페머물다,12,3000,126.6723136,33.54269752,0,33.6,6,2.5,"36,660",16
파스쿠찌일도점,6,4000,126.5524519,33.49936227,0,127.52,10,9.53,"25,461",4
커피알마,10,3500,126.587668,33.52580182,0,119.23,5,45.21,"53,953",27
망고버스,5,3500,126.4752643,33.48157141,1,62.49,8,4.03,"3,151",5
투썸플레이스도두해안도로점,8,4100,126.470491,33.50839069,0,257.95,10,9.53,"25,461",4
카페노아,10,4000,126.589041,33.5286259,0,82.6,14,185.93,"15,651",12
벨롱,14,4000,126.8794544,33.52826142,0,129.64,4,70.48,"34,357",27
설빙제주아라점,4,3500,126.540906,33.49396378,2,178.05,5,45.21,"53,953",27
파스쿠찌제주노형로터리점,5,4000,126.4794623,33.48698027,2,460.42,14,185.93,"15,651",12
바람벽에흰당나귀,14,4500,126.7075939,33.55385288,0,240,7,5.54,"22,503",9
스타벅스커피제주용담DT,7,4100,126.4845104,33.51240039,1,379.7,2,1.7,"22,138",4
에이팩토리커피앤북스,2,3500,126.5233795,33.51694182,0,415.41,4,70.48,"34,357",27
유스커피,4,3500,126.5406551,33.48431927,0,44.96,11,202.16,"36,110",21
